product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
"Mortlach 15 Year Old
Game of Thrones Six Kingdoms";4;['1'];['84.95'];['121.36'];Special Offer;The ninth release in Diageo's Game of Thrones Collection, Six Kingdoms is a 15-year-old Mortlach single malt, matured in a combination of first-fill oloroso sherry and ex-bourbon casks.
"Clynelish Reserve
Game of Thrones House Tyrell";None;['5'];['49.75'];['71.07'];Summer Sale B;"House Tyrell of Highgarden, rulers of the Reach, are used to lush green scenery, echoed in the green pastures and rolling hills surrounding Clynelish Distillery. A House known best for their wealth and their emblem – the golden rose – the Tyrells are a proud and noble family, and like the golden rose are hiding thorns beneath their petals. Clynelish Reserve has a sweet and fruity flavor, with a spicy undercurrent, just enough to prove it still has bite. Made with water said to come from Clynemilton burn where the water runs over veins of gold in the rock, this single malt is light and floral like Highgarden, but should not be underestimated as it still holds a strong Highland character.


This light-gold Scotch initially offers fresh fruit flavours - such as mango and pineapple - before slipping into rich, sweet vanilla notes. It finishes with sweet, maritime notes that mingle with the light floral flavours which warm and build throughout, leaving the signature sweet Clynelish waxiness behind.

Tasting Notes (1)"
"Cardhu 2008
11 Year Old Special Releases 2020";None;None;['83.95'];['119.93'];None;"Cardhu's entry in the Diageo Special Releases range looks at a type of wood the producer's rarely use – new oak. This was matured in new oak as well as refill and ex-bourbon American-oak casks for 11 years, layering spicy notes on top of the classic honey and fresh fruit Cardhu character.

Tasting Notes (1)"
"Glenfarclas 25 Year Old
London Edition TWE Exclusive";None;['7'];[];['214.29'];FREE UK Mainl;"Made at Glenfarclas distillery and matured in oloroso sherry casks for a quarter of a century before being bottled to celebrate The Whisky Exchange's 20th Anniversary. Aromas of meadow flowers, baked apples, barley sugar and buttery brioche fill the nose, developing into earthy coffee and sweet raisins. The palate opens with notes of fruit cake, salted caramel and rich oak, developing buttery pastry, raisins and fruity espresso flavours and dry waxiness.


This bottle features a specially-created label, designed by our creative director Raj Chavda to pay tribute to London's vibrant hospitality industry.

Tasting Notes (1)"
"Laphroaig PX Cask
Litre";None;['24'];['84.95'];None;None;"Originally released for the travel retail market, Laphroaig PX cask is aged initially in American oak and then in quarter casks before a final finishing period in ex-Pedro Ximenez sherry casks. A rich, sweeter and full-bodied expression of this Islay favourite.

Tasting Notes (1)"
None;None;None;;None;None;None
Ichiro's Malt & Grain Japanese Whisky;None;['1'];['69.95'];['99.93'];None;A blend from the king of independent Japanese distillers, Ichiro Akuto. In addition to whisky from his own Chichibu distillery, it also includes whiskies from America, Canada, Scotland and Ireland. As it says on the label – 'This is worldwide blended whisky'.
"Drambuie 15 Year Old Liqueur
Half Litre";None;['9'];['26.95'];['53.90'];Special Offer;A 50cl bottle of Drambuie's 15 year old whisky liqueur. Drambuie's longer aged whisky liqueur, with all the extra depth of flavour and general tastiness you'd hope that implies. One we're happy to see back on the shelves again.
"Whisky and Chocolate Pairing Gift Set
4x3cl";None;['1'];['38.95'];['32.46'];None;A great gift set for the chocolate lover, containing four perfect measures of whisky: Port Charlotte 10 Year Old, Talisker Port Ruighe, Tomintoul 15 Year Old Portwood Cask and New Riff Rye, each matched with a 25g of chocolate from Prestat. The set also includes a glass to enjoy the whisky from.
"Whisky of the Year 2021 Tasting Set
6x3cl";None;None;['34.95'];['19.42'];None;A Perfect Measure tasting set exploring the finalists for the 2021 Whisky of the Year. This set includes a 3cl sample bottle of each of the following whiskies: Nikka Coffey Malt Whisky, Johnnie Walker Green Label 15 Year Old, Kilkerran 12 Year Old, Glenmorangie Quinta Ruban 14 Year Old Port Finish, Port Charlotte 10 Year Old and Lagavulin 16 Year Old.
